GNL_CD,GEN_SHORT,GEN_LONG
628201ATB,empagliflozin,empagliflozin 10mg
628202ATB,empagliflozin,empagliflozin 25mg
649000ATB,empagliflozin + metformin hydrochloride,empagliflozin 5mg + metformin hydrochloride 1g
649100ATB,empagliflozin + metformin hydrochloride,empagliflozin 12.5mg + metformin hydrochloride 0.85g
649200ATB,empagliflozin + metformin hydrochloride,empagliflozin 12.5mg + metformin hydrochloride 1g
649300ATB,empagliflozin + metformin hydrochloride,empagliflozin 12.5mg + metformin hydrochloride 0.5g
649400ATB,empagliflozin + metformin hydrochloride,empagliflozin 5mg + metformin hydrochloride 0.5g
649500ATB,empagliflozin + metformin hydrochloride,empagliflozin 5mg + metformin hydrochloride 0.85g
658300ATB,emtricitabine + tenofovir alafenamide fumarate,emtricitabine 0.2g + tenofovir alafenamide fumarate (as tenofovir alafenamide 10mg)
658400ATB,emtricitabine + tenofovir alafenamide fumarate,emtricitabine 0.2g + tenofovir alafenamide fumarate (as tenofovir alafenamide 25mg)
599900ATB,emtricitabine + tenofovir disoproxil fumarate,emtricitabine 0.2g + tenofovir disoproxil fumarate (as tenofovir disoproxil 0.245g)
151601ATB,enalapril maleate,enalapril maleate 10mg
440300ATB,enalapril maleate + hydrochlorothiazide,enalapril maleate 20mg + hydrochlorothiazide 12.5mg
453700ATB,enalapril maleate + hydrochlorothiazide,enalapril maleate 10mg + hydrochlorothiazide 25mg
466000ATB,enalapril maleate + nitrendipine,enalapril maleate 10mg + nitrendipine 20mg
151901BIJ,enocitabine,enocitabine 250mg
152131BIJ,enoxaparin sodium,enoxaparin sodium 30mg(0.1g/mL)
152133BIJ,enoxaparin sodium,enoxaparin sodium 60mg(0.1g/mL)
152104BIJ,enoxaparin sodium,enoxaparin sodium 60mg
439201ATB,entacapone,entacapone 0.2g
487202ATB,entecavir,entecavir 0.5mg
487202ATD,entecavir,entecavir 0.5mg
487203ATB,entecavir,entecavir 1mg
487203ATD,entecavir,entecavir 1mg
627401ATB,enzalutamide,enzalutamide 40mg
152301ATB,eperisone hydrochloride,eperisone hydrochloride 50mg
152302ATR,eperisone hydrochloride,eperisone hydrochloride 75mg
152503COS,epinastine HCl,epinastine HCl 0.5mg
152501ATB,epinastine hydrochloride,epinastine hydrochloride 10mg
152530COS,epinastine hydrochloride,epinastine hydrochloride 2.5mg(0.5mg/mL)
152531COS,epinastine hydrochloride,epinastine hydrochloride 0.15mg(0.5mg/mL)
483930BIJ,epinephrine,epinephrine 0.15mg(1mg/mL)
483931BIJ,epinephrine,epinephrine 0.3mg(1mg/mL)
314200BIJ,epinephrine + lidocaine HCl,epinephrine 200ug + lidocaine HCl 400mg
425000BIJ,epinephrine + lidocaine HCl,epinephrine 22.5ug + lidocaine HCl 36mg
314000BIJ,epinephrine + lidocaine hydrochloride,epinephrine 18ug(10ug/mL) + lidocaine hydrochloride 36mg(20mg/mL)
314100BIJ,epinephrine + lidocaine hydrochloride,epinephrine 21.25ug(12.5ug/mL) + lidocaine hydrochloride 34mg(20mg/mL)
314300BIJ,epinephrine bitartrate + lidocaine hydrochloride,epinephrine bitartrate (as epinephrine 18ug(10ug/mL)) + lidocaine hydrochloride 36mg(20mg/mL)
314500BIJ,epinephrine bitartrate + lidocaine hydrochloride,epinephrine bitartrate (as epinephrine 22.5ug(12.5ug/mL)) + lidocaine hydrochloride 36mg(20mg/mL)
649800BIJ,epinephrine bitartrate + lidocaine hydrochloride,epinephrine bitartrate (as epinephrine 9ug(5ug/mL)) + lidocaine hydrochloride 36mg(20mg/mL)
152601CLQ,epinephrine HCl,epinephrine HCl 1mg
152632CLQ,epinephrine hydrochloride,epinephrine hydrochloride (as epinephrine 50mg(1mg/mL))
152701BIJ,epirubicin HCl,epirubicin HCl 10mg
152702BIJ,epirubicin HCl,epirubicin HCl 50mg
152730BIJ,epirubicin hydrochloride,epirubicin hydrochloride 10mg(2mg/mL)
152731BIJ,epirubicin hydrochloride,epirubicin hydrochloride 50mg(2mg/mL)
429201ATB,eprosartan mesylate,eprosartan mesylate (as eprosartan 0.6g)
460500ATB,eprosartan mesylate + hydrochlorothiazide,eprosartan mesylate (as eprosartan 0.6g) + hydrochlorothiazide 12.5mg
152904BIJ,eptacog ug,eptacog ug(activated) 100KI.U
152905BIJ,eptacog ug,eptacog ug(activated) 50KI.U
152906BIJ,eptacog ug,eptacog ug(activated) 250KI.U
153101ATB,erdosteine,erdosteine 0.3g
153130ASY,erdosteine,erdosteine 1.75g(35mg/mL)
621330BIJ,eribulin mesylate,eribulin mesylate (as eribulin 0.88mg(0.44mg/mL))
621301BIJ,eribulin mesylate,eribulin mesylate (as eribulin 0.88mg) 1mg
477401ATB,erlotinib hydrochloride,erlotinib hydrochloride (as erlotinib 0.1g)
477402ATB,erlotinib hydrochloride,erlotinib hydrochloride (as erlotinib 0.15g)
477403ATB,Erlotinib hydrochloride,Erlotinib hydrochloride(as Erlotinib 25mg) 27.32mg
447701BIJ,ertapenem sodium,ertapenem sodium (as ertapenem 1g)
154001ATB,erythromycin,erythromycin(enteric coated) 0.25g
153501ATB,erythromycin estolate,erythromycin estolate 250mg
153602ATB,erythromycin propionate,erythromycin propionate 500mg
500331BIJ,erythropoietin,erythropoietin 1KI.U(4KI.U/mL)
500333BIJ,erythropoietin,erythropoietin 2KI.U(4KI.U/mL)
500334BIJ,erythropoietin,erythropoietin 3KI.U(10KI.U/mL)
500336BIJ,erythropoietin,erythropoietin 3KI.U(6KI.U/mL)
500337BIJ,erythropoietin,erythropoietin 4KI.U(10KI.U/mL)
500338BIJ,erythropoietin,erythropoietin 4KI.U(4KI.U/mL)
500339BIJ,erythropoietin,erythropoietin 4KI.U(8KI.U/mL)
500341BIJ,erythropoietin,erythropoietin 6KI.U(10KI.U/mL)
500342BIJ,erythropoietin,erythropoietin 8KI.U(10KI.U/mL)
500343BIJ,erythropoietin,erythropoietin 10KI.U(10KI.U/mL)
500301BIJ,erythropoietin,erythropoietin 2000I.U
500302BIJ,erythropoietin,erythropoietin 4000I.U
500303BIJ,erythropoietin,erythropoietin 1000I.U
500304BIJ,erythropoietin,erythropoietin 3000I.U
500305BIJ,erythropoietin,erythropoietin 5000I.U
500306BIJ,erythropoietin,erythropoietin 6000I.U
500308BIJ,erythropoietin,erythropoietin 10000I.U
154301BIJ,erythropoietin-ug,erythropoietin-ug 1000I.U
154302BIJ,erythropoietin-ug,erythropoietin-ug 2000I.U
154303BIJ,erythropoietin-ug,erythropoietin-ug 5000I.U
154305BIJ,erythropoietin-ug,erythropoietin-ug 3000I.U
154306BIJ,erythropoietin-ug,erythropoietin-ug 10000I.U
154308BIJ,erythropoietin-ug,erythropoietin-ug 4000I.U
154309BIJ,erythropoietin-ug,erythropoietin-ug 6000I.U
521101ATD,escitalopram,escitalopram 10mg
521102ATD,escitalopram,escitalopram 20mg
474801ATB,escitalopram oxalate,escitalopram oxalate (as escitalopram 5mg)
474802ATB,escitalopram oxalate,escitalopram oxalate (as escitalopram 10mg)
474803ATB,escitalopram oxalate,escitalopram oxalate (as escitalopram 20mg)
474804ATB,escitalopram oxalate,escitalopram oxalate (as escitalopram 15mg)
154401BIJ,esmolol HCl,esmolol HCl 100mg
154402BIJ,esmolol HCl,esmolol HCl 2.5g
154430BIJ,esmolol hydrochloride,esmolol hydrochloride 0.1g(10mg/mL)
509901ATB,esomeprazole,esomeprazole 40mg
509902ATB,esomeprazole,esomeprazole 20mg
527400ATB,esomeprazole + naproxen,esomeprazole 20mg + naproxen 0.5g
367201ATB,esomeprazole magnesium,esomeprazole magnesium (as esomeprazole 20mg)
367202ATB,esomeprazole magnesium,esomeprazole magnesium (as esomeprazole 40mg)
459401BIJ,esomeprazole sodium,esomeprazole sodium 42.5mg
498001ATB,esomeprazole strontium tetrahydrate,esomeprazole strontium tetrahydrate (as esomeprazole 20mg)
498002ATB,esomeprazole strontium tetrahydrate,esomeprazole strontium tetrahydrate (as esomeprazole 40mg)
523500ATB,esomeprazole strontium tetrahydrate + naproxen,esomeprazole strontium tetrahydrate (as esomeprazole 20mg) + naproxen 0.5g
154901ATB,estradiol hemihydrate,estradiol hemihydrate (as estradiol 1mg)
154931COM,estradiol hemihydrate,estradiol hemihydrate (as estradiol 50mg(1mg/g))
298200ATB,estradiol hemihydrate + estradiol hemihydrate + estradiol hemihydrate + norethisterone acetate,estradiol hemihydrate 1mg/1ug(Aug6ugug) + estradiol hemihydrate 2mg/1ug(Bug10ugug) + estradiol hemihydrate 2mg/1ug(Cug12ugug) + norethisterone acetate 1mg/1ug(Bug10ugug)
297000ATB,estradiol hemihydrate + norethisterone acetate,estradiol hemihydrate (as estradiol 1mg/ug) + norethisterone acetate 0.5mg/ug
297100ATB,estradiol hemihydrate + norethisterone acetate,estradiol hemihydrate (as estradiol 2mg/ug) + norethisterone acetate 1mg/ug
155001ATB,estradiol valerate,estradiol valerate 1mg
155002ATB,estradiol valerate,estradiol valerate 2mg
297600ATB,estradiol valerate + estradiol valerate + medroxyprogesterone acetate,estradiol valerate 2mg/ug(Aug 10ugug) + estradiol valerate 2mg/ug(Bug 11ugug) + medroxyprogesterone acetate 10mg/ug(Aug 10ugug)
433900ATB,estradiol valerate + medroxyprogesterone acetate,estradiol valerate 1mg/ug + medroxyprogesterone acetate 2.5mg/ug
434000ATB,estradiol valerate + medroxyprogesterone acetate,estradiol valerate 1mg/ug + medroxyprogesterone acetate 5mg/ug
434100ATB,estradiol valerate + medroxyprogesterone acetate,estradiol valerate 2mg/ug + medroxyprogesterone acetate 5mg/ug
507600ATB,estradiol valerate + norethisterone acetate,estradiol valerate 1.31mg + norethisterone acetate 0.5mg
155101ATB,estramustine sodium phosphate,estramustine sodium phosphate 0.14g
155202CSP,estriol,estriol 0.5mg
507700CTB,estriol + lactobacillus acidophilus,estriol 30ug + lactobacillus acidophilus(lyophilized) 10MI.U
155402COM,estrogen,estrogen(conjugated) 625ug
155501ATB,estropipate,estropipate (as estron sodium sulfate 0.625mg)
155502ATB,estropipate,estropipate (as estron sodium sulfate 1.25mg)
455803BIJ,etanercept,etanercept 25mg(25mg/mL)
455831BIJ,etanercept,etanercept 50mg(50mg/mL)
455802BIJ,etanercept,etanercept 50mg
155602ATB,ethambutol hydrochloride,ethambutol hydrochloride 0.4g
155605ATB,ethambutol hydrochloride,ethambutol hydrochloride 0.8g
519500ATB,ethambutol hydrochloride + isoniazid + pyrazinamide + rifampicin,ethambutol hydrochloride 0.275g + isoniazid 75mg + pyrazinamide 0.4g + rifampicin 0.15g
155901ATB,ethosuximide,ethosuximide 0.25g
156030BIJ,ethyl esters of the iodised fatty acids of poppyseed oil,ethyl esters of the iodised fatty acids of poppyseed oil 12.8g(1.28g/mL)
156001BIJ,ethyl esters of the iodised fatty acids of poppyseed oil,ethyl esters of the iodised fatty acids of poppyseed oil 12.8g
156201ATB,ethyl loflazepate,ethyl loflazepate 1mg
156202ATB,ethyl loflazepate,ethyl loflazepate 2mg
156501ATB,etizolam,etizolam 1mg
156502ATB,etizolam,etizolam 0.5mg
156503ATB,etizolam,etizolam 0.25mg
156601ATB,etodolac,etodolac 0.1g
156602ATB,etodolac,etodolac 0.2g
156603ATB,etodolac,etodolac 0.4g
156603ATR,etodolac,etodolac 0.4g
156604ATR,etodolac,etodolac 0.6g
157030BIJ,etomidate,etomidate 20mg(2mg/mL)
157001BIJ,etomidate,etomidate 20mg
157102ATB,etoposide,etoposide 25mg
157131BIJ,etoposide,etoposide 0.1g(20mg/mL)
157132BIJ,etoposide,etoposide 0.15g(20mg/mL)
157101BIJ,etoposide,etoposide 100mg
636901ATB,etoricoxib,etoricoxib 30mg
508901ATB,etravirine,etravirine 0.1g
485601ATB,everolimus,everolimus 0.25mg
485602ATB,everolimus,everolimus 0.5mg
485603ATB,everolimus,everolimus 0.75mg
485604ATB,everolimus,everolimus 1mg
485605ATB,everolimus,everolimus 5mg
485606ATB,everolimus,everolimus 10mg
485607ATB,everolimus,everolimus 2.5mg
645301ATB,evogliptin tartrate,evogliptin tartrate(as evogliptin 5mg)
649900ATR,evogliptin tartrate + metformin hydrochloride,evogliptin tartrate (as evogliptin 5mg) + metformin hydrochloride 1g
650000ATR,evogliptin tartrate + metformin hydrochloride,evogliptin tartrate (as evogliptin 2.5mg) + metformin hydrochloride 0.85g
650100ATR,evogliptin tartrate + metformin hydrochloride,evogliptin tartrate (as evogliptin 2.5mg) + metformin hydrochloride 0.5g
358401ATB,exemestane,exemestane 25mg
512130BIJ,exenatide,exenatide 0.3mg(0.25mg/mL)
512131BIJ,exenatide,exenatide 0.6mg(0.25mg/mL)
462201ATB,ezetimibe,ezetimibe 10mg
634800ATB,ezetimibe + atorvastatin calcium,ezetimibe 10mg + atorvastatin calcium(as atorvastatin 40mg)
640700ATB,ezetimibe + rosuvastatin calcium,ezetimibe 10mg + rosuvastatin calcium (as rosuvastatin 5mg)
640800ATB,ezetimibe + rosuvastatin calcium,ezetimibe 10mg + rosuvastatin calcium (as rosuvastatin 10mg)
640900ATB,ezetimibe + rosuvastatin calcium,ezetimibe 10mg + rosuvastatin calcium (as rosuvastatin 20mg)
471000ATB,ezetimibe + simvastatin,ezetimibe 10mg + simvastatin 10mg
471100ATB,ezetimibe + simvastatin,ezetimibe 10mg + simvastatin 20mg
507800ATB,ezetimibe + simvastatin,ezetimibe 10mg + simvastatin 40mg
157201ATB,famciclovir,famciclovir 0.25g
157202ATB,famciclovir,famciclovir 0.75g
157202ATR,famciclovir,famciclovir 750mg
157301ATB,famotidine,famotidine 10mg
157302ATB,famotidine,famotidine 20mg
157302ATD,famotidine,famotidine 20mg
157302BIJ,famotidine,famotidine 20mg
567401ATB,febuxostat,febuxostat 80mg
567403ATB,febuxostat,febuxostat 40mg
157501ATR,felodipine,felodipine 5mg
157503ATR,felodipine,felodipine 2.5mg
262400ATR,felodipine + metoprolol succinate,felodipine 5mg + metoprolol succinate 47.5mg
447100ATB,Felodipine + Ramipril,Felodipine 2.5mg + Ramipril 2.5mg
447200ATB,Felodipine + Ramipril,Felodipine 5mg + Ramipril 5mg
194930ATB,fenofibrate,fenofibrate(micronized) 0.16g
157703ATB,fenofibrate,fenofibrate 160mg
157703ATR,fenofibrate,fenofibrate 160mg
519300ATB,fenofibrate + pravastatin sodium,fenofibrate 0.16g + pravastatin sodium 40mg
631400ATB,fenofibrate + simvastatin,fenofibrate 0.145g + simvastatin 20mg
631500ATB,fenofibrate + simvastatin,fenofibrate 0.145g + simvastatin 40mg
194901ATB,fenofibrate granule,fenofibrate granule(micronized) (as fenofibrate 0.2g)
194902ATB,fenofibrate granule,fenofibrate granule(micronized) (as fenofibrate 0.13g)
157702ATR,fenofibrate pellet,fenofibrate pellet (as fenofibrate 0.25g)
520301ATB,fenofibric acid,fenofibric acid 0.135g
157902CLQ,fenoterol Hbr,fenoterol Hbr 500ug
157901ATB,fenoterol hydrobromide,fenoterol hydrobromide 2.5mg
158001ATB,fenoverine,fenoverine 0.1g
158209CPL,fentanyl,fentanyl 0.9mg for 72h
158210CPL,fentanyl,fentanyl 1.8mg for 72h
158211CPL,fentanyl,fentanyl 3.6mg for 72h
158213CPL,fentanyl,fentanyl 7.2mg for 72h
158216CPL,fentanyl,fentanyl 2.7mg for 72h
158212CPL,Fentanyl,Fentanyl 5.4mg
158305ATC,fentanyl citrate,fentanyl citrate (as fentanyl 0.2mg)
158305ATL,fentanyl citrate,fentanyl citrate(micronized) (as fentanyl 0.2mg)
158306ATC,fentanyl citrate,fentanyl citrate (as fentanyl 0.4mg)
158306ATL,fentanyl citrate,fentanyl citrate(micronized) (as fentanyl 0.4mg)
158307ATC,fentanyl citrate,fentanyl citrate (as fentanyl 0.6mg)
158308ATC,fentanyl citrate,fentanyl citrate (as fentanyl 0.8mg)
158313ATC,fentanyl citrate,fentanyl citrate (as fentanyl 0.2mg)
158314ATC,fentanyl citrate,fentanyl citrate (as fentanyl 0.4mg)
158315ATC,fentanyl citrate,fentanyl citrate (as fentanyl 0.6mg)
158316ATC,fentanyl citrate,fentanyl citrate (as fentanyl 0.8mg)
158317ATC,fentanyl citrate,fentanyl citrate (as fentanyl 0.1mg)
158322ATL,fentanyl citrate,fentanyl citrate(micronized) (as fentanyl 0.3mg)
158330BIJ,fentanyl citrate,fentanyl citrate (as fentanyl 50ug(50ug/mL))
158331BIJ,fentanyl citrate,fentanyl citrate (as fentanyl 0.1mg(50ug/mL))
158332BIJ,fentanyl citrate,fentanyl citrate (as fentanyl 0.5mg(50ug/mL))
158333BIJ,fentanyl citrate,fentanyl citrate (as fentanyl 1mg(50ug/mL))
630901CSI,fentanyl citrate,fentanyl citrate (as fentanyl 0.5mg(50ug/ug))
630904CSI,fentanyl citrate,fentanyl citrate (as fentanyl 1mg(0.1mg/ug))
630907CSI,fentanyl citrate,fentanyl citrate (as fentanyl 2mg(0.2mg/ug))
158301BIJ,fentanyl citrate,fentanyl citrate 1000ug
158302BIJ,fentanyl citrate,fentanyl citrate 100ug
158303BIJ,fentanyl citrate,fentanyl citrate 500ug
158304BIJ,fentanyl citrate,fentanyl citrate 50ug
158601ALQ,ferric hydroxide poly maltose-complex,ferric hydroxide poly maltose-complex 178.5mg
158603ALQ,ferric hydroxide poly maltose-complex,ferric hydroxide poly maltose-complex 71.4mg
158608ALQ,ferric hydroxide poly maltose-complex,ferric hydroxide poly maltose-complex 23.8mgmg
158631ALQ,ferric hydroxide polymaltose complex,ferric hydroxide polymaltose complex (as Fe III 0.1g(20mg/mL))
158632ALQ,ferric hydroxide polymaltose complex,ferric hydroxide polymaltose complex (as Fe III 0.1g(6.667mg/mL))
158634ALQ,ferric hydroxide polymaltose complex,ferric hydroxide polymaltose complex (as Fe III 2.25g(50mg/mL))
303300ATB,ferric hydroxide polymaltose complex + folic acid,ferric hydroxide polymaltose complex (as Fe 0.1g) + folic acid 0.35mg
417230ASY,ferritinic iron,ferritinic iron 40mg(4mg/mL)
417201ASY,ferritinic iron,ferritinic iron 4mg
303403ATR,ferrous sulfate dried,ferrous sulfate dried (as Fe II 80mg)
503801ATR,fesoterodine fumarate,fesoterodine fumarate 4mg
503802ATR,fesoterodine fumarate,fesoterodine fumarate 8mg
347901ATB,fexofenadine hydrochloride,fexofenadine hydrochloride 0.12g
395400ATB,fexofenadine hydrochloride + pseudoephedrine hydrochloride,fexofenadine hydrochloride 60mg + pseudoephedrine hydrochloride 0.12g
346900CDS,fibrinogen + thrombin,fibrinogen 41.25mg + thrombin 15I.U
354800CDS,fibrinogen + thrombin,fibrinogen 0.2508g + thrombin 91.2I.U
425100CDS,fibrinogen + thrombin,fibrinogen 126.72mg + thrombin 46.08I.U
158931BIJ,filgrastim,filgrastim 0.15mg(0.25mg/mL)
158933BIJ,filgrastim,filgrastim 0.3mg(0.42857mg/mL)
158934BIJ,filgrastim,filgrastim 0.15mg(0.3mg/mL)
158935BIJ,filgrastim,filgrastim 0.3mg(0.3mg/mL)
158936BIJ,filgrastim,filgrastim 75ug(0.3mg/mL)
158901BIJ,filgrastim,filgrastim 150ug
158902BIJ,filgrastim,filgrastim 300ug
158903BIJ,filgrastim,filgrastim 75ug
515201ATB,fimasartan potassium trihydrate,fimasartan potassium trihydrate (as fimasartan potassium 60mg)
515202ATB,fimasartan potassium trihydrate,fimasartan potassium trihydrate (as fimasartan potassium 0.12g)
515203ATB,fimasartan potassium trihydrate,fimasartan potassium trihydrate (as fimasartan potassium 30mg)
652700ATB,fimasartan potassium trihydrate + amlodipine besylate,fimasartan potassium trihydrate (as fimasartan potassium 60mg) + amlodipine besylate (as amlodipine 5mg)
654700ATB,fimasartan potassium trihydrate + rosuvastatin calcium,fimasartan potassium trihydrate (as fimasartan potassium 60mg) + rosuvastatin calcium (as rosuvastatin 10mg)
654800ATB,fimasartan potassium trihydrate + rosuvastatin calcium,fimasartan potassium trihydrate (as fimasartan potassium 60mg) + rosuvastatin calcium (as rosuvastatin 5mg)
654900ATB,fimasartan potassium trihydrate + rosuvastatin calcium,fimasartan potassium trihydrate (as fimasartan potassium 30mg) + rosuvastatin calcium (as rosuvastatin 10mg)
655000ATB,fimasartan potassium trihydrate + rosuvastatin calcium,fimasartan potassium trihydrate (as fimasartan potassium 30mg) + rosuvastatin calcium (as rosuvastatin 5mg)
159001ATB,finasteride,finasteride 5mg
615201ATB,fingolimod hydrochloride,fingolimod hydrochloride (as fingolimod 0.5mg)
318100BIJ,flavin adenine dinucleotide + liver ext.,flavin adenine dinucleotide 10mg(10mg/mL) + liver ext. 15ugL(15ugL/mL)
159201ATB,flavoxate hydrochloride,flavoxate hydrochloride 0.2g
159501BIJ,flomoxef sodium,flomoxef sodium 0.5g
159903ATB,fluconazole,fluconazole 50mg
159905ATB,fluconazole,fluconazole 0.15g
159930COM,fluconazole,fluconazole 75mg(5mg/g)
159931BIJ,fluconazole,fluconazole 0.1g(2mg/mL)
159934ASY,fluconazole,fluconazole 0.35g(10mg/mL)
159901ASY,fluconazole,fluconazole 10mg
159902BIJ,fluconazole,fluconazole 100mg
159906COM,fluconazole,fluconazole 5mg
160101BIJ,fludarabine phosphate,fludarabine phosphate 50mg
160102ATB,fludarabine phosphate,fludarabine phosphate 10mg
160201ATB,fludrocortisone acetate,fludrocortisone acetate 100ug
160430BIJ,flumazenil,flumazenil 0.3mg(0.1mg/mL)
160431BIJ,flumazenil,flumazenil 0.5mg(0.1mg/mL)
160432BIJ,flumazenil,flumazenil 0.2mg(0.1mg/mL)
160401BIJ,flumazenil,flumazenil 500ug
160402BIJ,flumazenil,flumazenil 300ug
160501ATB,flunarizine hydrochloride,flunarizine hydrochloride 5.9mg
160830COM,fluocinonide,fluocinonide 5mg(0.5mg/g)
160832COM,fluocinonide,fluocinonide 10mg(0.5mg/g)
160834CLQ,fluocinonide,fluocinonide 17.5mg(0.5mg/mL)
160835COM,fluocinonide,fluocinonide 0.225g(0.5mg/g)
160836COM,fluocinonide,fluocinonide 0.25g(0.5mg/g)
160801CLQ,fluocinonide,fluocinonide 500ug
160801COM,fluocinonide,fluocinonide 500ug
161130BIJ,fluorescein sodium,fluorescein sodium (as fluorescein 0.5g(0.1g/mL))
161131BIJ,fluorescein sodium,fluorescein sodium (as fluorescein 0.442g(88.4mg/mL))
161209COS,fluorometholone,fluorometholone 0.35mg(1mg/mL)
161230COS,fluorometholone,fluorometholone 0.55mg(1mg/mL)
161231COS,fluorometholone,fluorometholone 0.6mg(1mg/mL)
161232COS,fluorometholone,fluorometholone 1mg(0.2mg/mL)
161234COS,fluorometholone,fluorometholone 1.2mg(0.2mg/mL)
161237COS,fluorometholone,fluorometholone 5mg(1mg/mL)
161238COS,fluorometholone,fluorometholone 6mg(1mg/mL)
161241COS,fluorometholone,fluorometholone 0.5mg(1mg/mL)
161243COS,fluorometholone,fluorometholone 0.3mg(1mg/mL)
161244COS,fluorometholone,fluorometholone 0.45mg(1mg/mL)
161245COS,fluorometholone,fluorometholone 0.33mg(1mg/mL)
161201COS,fluorometholone,fluorometholone 1mg
161202COS,fluorometholone,fluorometholone 200ug
161203COS,fluorometholone,fluorometholone 2.5mg
161204COS,fluorometholone,fluorometholone 600ug
538500COO,fluorometholone + gentamicin sulfate,fluorometholone 4mg(1mg/g) + gentamicin sulfate 12mg(3mg/g)
538700COS,fluorometholone + gentamicin sulfate,fluorometholone 5mg(1mg/mL) + gentamicin sulfate 15mg(3mg/mL)
332200COO,fluorometholone + gentamicin sulfate,fluorometholone 1mg + gentamicin sulfate 3mg
332200COS,fluorometholone + gentamicin sulfate,fluorometholone 1mg + gentamicin sulfate 3mg
332300COS,fluorometholone + tetrahydrozoline HCl,fluorometholone 1mg + tetrahydrozoline HCl 250ug
525400COS,fluorometholone + tetrahydrozoline hydrochloride,fluorometholone 0.6mg(1mg/mL) + tetrahydrozoline hydrochloride 0.15mg(0.25mg/mL)
538800COS,fluorometholone + tetrahydrozoline hydrochloride,fluorometholone 5mg(1mg/mL) + tetrahydrozoline hydrochloride 1.25mg(0.25mg/mL)
538900COS,fluorometholone + tetrahydrozoline hydrochloride,fluorometholone 6mg(1mg/mL) + tetrahydrozoline hydrochloride 1.5mg(0.25mg/mL)
647200COS,fluorometholone + tetrahydrozoline hydrochloride,fluorometholone 0.45mg(1mg/mL) + tetrahydrozoline hydrochloride 0.1125mg(0.25mg/mL)
161330COS,fluorometholone acetate,fluorometholone acetate 5mg(1mg/mL)
161301COS,fluorometholone acetate,fluorometholone acetate 1mg
161402BIJ,fluorouracil,fluorouracil-5 500mg
161404BIJ,fluorouracil,fluorouracil-5 1000mg
161504ATR,fluoxetine HCl,fluoxetine HCl 90mg
161501ATB,fluoxetine hydrochloride,fluoxetine hydrochloride (as fluoxetine 10mg)
161502ATB,fluoxetine hydrochloride,fluoxetine hydrochloride (as fluoxetine 20mg)
161801ATB,flurazepam hydrochloride,flurazepam hydrochloride 15mg
161902CPL,flurbiprofen,flurbiprofen 40mg
161904CPL,flurbiprofen,flurbiprofen 20mg
161902ATB,flurbiprofen,flurbiprofen 40mg
162030COS,flurbiprofen sodium,flurbiprofen sodium 0.75mg(0.3mg/mL)
500430CSI,fluticasone furoate,fluticasone furoate(micronized) 3.3mg(27.5ug/ug)
500401CSI,fluticasone furoate,fluticasone furoate 27.5ug/ug
636700CSI,fluticasone furoate + vilanterol trifenatate,fluticasone furoate(micronized) 3mg(100ug/ug) + vilanterol trifenatate(micronized) (as vilanterol 0.75mg(25ug/ug))
636800CSI,fluticasone furoate + vilanterol trifenatate,fluticasone furoate(micronized) 6mg(200ug/ug) + vilanterol trifenatate(micronized) (as vilanterol 0.75mg(25ug/ug))
162231CSY,fluticasone propionate,fluticasone propionate 2mg(1mg/mL)
162232CSI,fluticasone propionate,fluticasone propionate 6mg(50ug/ug)
162233CSI,fluticasone propionate,fluticasone propionate 6mg(0.1mg/ug)
162234COM,fluticasone propionate,fluticasone propionate 7.5mg(0.5mg/g)
162235CSI,fluticasone propionate,fluticasone propionate 15mg(0.25mg/ug)
162236CSI,fluticasone propionate,fluticasone propionate 30mg(0.25mg/ug)
162238CSI,fluticasone propionate,fluticasone propionate 6mg(50ug/ug)
162202CSI,fluticasone propionate,fluticasone propionate 15mg
162203CSY,fluticasone propionate,fluticasone propionate 2mg
162204CSI,fluticasone propionate,fluticasone propionate 30mg
162206CSY,fluticasone propionate,fluticasone propionate 0.5mg
162207CSI,fluticasone propionate,fluticasone propionate 6mg
542800CSI,fluticasone propionate + formoterol fumarate dihydrate,fluticasone propionate 15mg(0.125mg/ug) + formoterol fumarate dihydrate 0.6mg(5ug/ug)
542900CSI,fluticasone propionate + formoterol fumarate dihydrate,fluticasone propionate 6mg(50ug/ug) + formoterol fumarate dihydrate 0.6mg(5ug/ug)
543000CSI,fluticasone propionate + formoterol fumarate dihydrate,fluticasone propionate 30mg(0.25mg/ug) + formoterol fumarate dihydrate 1.2mg(10ug/ug)
525700CSI,fluticasone propionate + formoterol fumarate dihydrate,fluticasone propionate 15mg + formoterol fumarate dihydrate 0.6mg
525800CSI,fluticasone propionate + formoterol fumarate dihydrate,fluticasone propionate 6mg + formoterol fumarate dihydrate 0.6mg
526200CSI,fluticasone propionate + formoterol fumarate dihydrate,fluticasone propionate 30mg + formoterol fumarate dihydrate 1.2mg
543100CSI,fluticasone propionate + salmeterol xinafoate,fluticasone propionate 6mg(0.1mg/ug) + salmeterol xinafoate (as salmeterol 3mg(50ug/ug))
543200CSI,fluticasone propionate + salmeterol xinafoate,fluticasone propionate 6mg(50ug/ug) + salmeterol xinafoate (as salmeterol 3mg(25ug/ug))
543300CSI,fluticasone propionate + salmeterol xinafoate,fluticasone propionate 15mg(0.25mg/ug) + salmeterol xinafoate (as salmeterol 3mg(50ug/ug))
