GNL_CD	GEN_SHORT	GEN_LONG	Med_Name_x	Med_Name_y	Type_for_4CE_Analysis	Med_Class	Class_Name	ATC_Code	Parent_RxNorm	ACT_RxNorm_List	ACT_Path	ACT_NDC_List
478601ATB	"omega-	omega-3-acid ethyl esters90 1g (as EPA ethylester 0.46g, DHA ethylester 0.38g, ug-tocopherol 4mg)"""											
663400ATB	omega-+ rosuvastatin calcium 	omega-3-acid ethyl esters90 1g (as EPA ethylester 0.46g, DHA ethylester 0.38g, ug-tocopherol 4mg) + rosuvastatin calcium (as rosuvastatin 5mg)										
204401ATE	omeprazole	omeprazole 20mg										
204402ATE	omeprazole	omeprazole 40mg										
204403ATE	omeprazole	omeprazole 10mg										
204501BIJ	omeprazole sodium	omeprazole sodium(as omeprazole) 40mg										
204605BIJ	ondansetron hydrochloride dihydrate	ondansetron hydrochloride dihydrate(as ondansetron) 8mg										
204602BIJ	ondansetron hydrochloride dihydrate	ondansetron hydrochloride dihydrate(as ondansetron) 24mg										
204604BIJ	ondansetron hydrochloride dihydrate	ondansetron hydrochloride dihydrate(as ondansetron) 4mg										
204603ATD	ondansetron hydrochloride dihydrate	ondansetron hydrochloride dihydrate (as ondansetron 8mg)										
204603ATB	ondansetron hydrochloride dihydrate	ondansetron hydrochloride dihydrate (as ondansetron 8mg)										
204630BIJ	ondansetron hydrochloride dihydrate	ondansetron hydrochloride dihydrate (as ondansetron 4mg(2mg/mL))										
204631BIJ	ondansetron hydrochloride dihydrate	ondansetron hydrochloride dihydrate (as ondansetron 8mg(2mg/mL))										
204930BIJ	ornidazole	ornidazole 0.5g(0.16667mg/mL)										
205001AGN	ornithine aspartate	ornithine aspartate 600mg										
205002AOM	ornithine aspartate	ornithine aspartate 3g										
205203ATR	orphenadrine citrate	orphenadrine citrate 50mg										
205230BIJ	orphenadrine citrate	orphenadrine citrate 60mg(30mg/mL)										
205303ATB	orphenadrine hydrochloride	orphenadrine hydrochloride 25mg										
646901ATB	oseltamivir	oseltamivir 30mg										
646902ATB	oseltamivir	oseltamivir 45mg										
646903ATB	oseltamivir	oseltamivir 75mg										
646904ASY	oseltamivir	oseltamivir 0.36g(6mg/mL)										
646906ASY	oseltamivir	oseltamivir 0.3g(6mg/mL)										
358908ASY	oseltamivir phosphate	oseltamivir phosphate (as oseltamivir 0.39g(6mg/mL))										
358909ASY	oseltamivir phosphate	oseltamivir phosphate (as oseltamivir 0.45g(6mg/mL))										
358901ATB	oseltamivir phosphate	oseltamivir phosphate (as oseltamivir 75mg)										
358902ATB	oseltamivir phosphate	oseltamivir phosphate (as oseltamivir 45mg)										
358903ATB	oseltamivir phosphate	oseltamivir phosphate (as oseltamivir 30mg)										
358907ASY	oseltamivir phosphate	oseltamivir phosphate (as oseltamivir 0.3g(6mg/mL))										
358910ASY	oseltamivir phosphate	oseltamivir phosphate (as oseltamivir 0.36g(6mg/mL))										
358907ATB	oseltamivir phosphate	oseltamivir phosphate (as oseltamivir 60mg)										
652502ATB	osimertinib mesylate	osimertinib mesylate (as osimertinib 80mg)										
652501ATB	osimertinib mesylate	osimertinib mesylate (as osimertinib 40mg)										
205602ATB	ossopan substance	ossopan substance 0.83g										
205832BIJ	oxaliplatin	oxaliplatin 0.2g(5mg/mL)										
205834BIJ	oxaliplatin	oxaliplatin 0.1g(5mg/mL)										
205830BIJ	oxaliplatin	oxaliplatin 50mg(5mg/mL)										
205801BIJ	oxaliplatin	oxaliplatin 50mg										
205802BIJ	oxaliplatin	oxaliplatin 100mg										
205804BIJ	oxaliplatin	oxaliplatin 200mg										
205803BIJ	oxaliplatin	oxaliplatin 0.15g										
206101ATB	oxaprozin	oxaprozin 200mg										
206201ATB	oxatomide	oxatomide 30mg										
206304ASY	oxcarbazepin	oxcarbazepin 60mg										
206330ASY	oxcarbazepine	oxcarbazepine 6g(60mg/mL)										
206302ATB	oxcarbazepine	oxcarbazepine 0.6g										
206301ATB	oxcarbazepine	oxcarbazepine 0.3g										
206303ATB	oxcarbazepine	oxcarbazepine 0.15g										
454205CDS	oxidized regenerated cellulose	oxidized regenerated cellulose 5ug35cm										
382301BIJ	oxidronate sodium	oxidronate sodium 3mg										
206501ASY	oxiracetam	oxiracetam 160mg										
206502BIJ	oxiracetam	oxiracetam 1g										
206533ASY	oxiracetam	oxiracetam 80g(0.16g/mL)										
206503ATB	oxiracetam	oxiracetam 0.8g										
206504ATB	oxiracetam	oxiracetam 0.4g										
206530ASY	oxiracetam	oxiracetam 0.8mg(0.16g/mL)										
207001ATB	oxybutynin chloride	oxybutynin chloride 5mg										
207001ATR	oxybutynin chloride	oxybutynin chloride 5mg										
207005ATR	oxybutynin chloride	oxybutynin chloride 10mg										
359002ATR	oxycodone HCl	oxycodone HCl 10mg										
359002ATB	oxycodone HCl	oxycodone HCl 10mg										
359004ATB	oxycodone HCl	oxycodone HCl 5mg										
359003ATR	oxycodone hydrochloride	oxycodone hydrochloride 20mg										
359008ATR	oxycodone hydrochloride	oxycodone hydrochloride 60mg										
359007ATR	oxycodone hydrochloride	oxycodone hydrochloride 80mg										
370602CSI	oxygen gas	oxygen gas 10L										
207201ATB	oxymetholone	oxymetholone 50mg										
361200COO	oxytetracycline HCl + polymyxin B sulfate	oxytetracycline HCl 5mg + polymyxin B sulfate 10000I.U										
207403ATB	oxytetracycline hydrochloride	oxytetracycline hydrochloride 0.5g										
540400COO	oxytetracycline hydrochloride + polymyxin B sulfate	oxytetracycline hydrochloride 17.5mg(5mg/g) + polymyxin B sulfate 35KI.U(10KI.U/g)										
207530BIJ	oxytocin	oxytocin 5I.U(5I.U/mL)										
207531BIJ	oxytocin	oxytocin 10I.U(10I.U/mL)										
207501BIJ	oxytocin	oxytocin 10I.U										
207601ATB	oyster shell powder	oyster shell powder 1290mg										
207701ATB	ozagrel hydrochloride	ozagrel hydrochloride 0.2g										
359532BIJ	ozagrel sodium	ozagrel sodium 40mg(8mg/mL)										
359502BIJ	ozagrel sodium	ozagrel sodium 40mg										
359503BIJ	ozagrel sodium	ozagrel sodium 80mg										
251001BIJ	p-aminomethyl benzoic acid	p-aminomethyl benzoic acid 50mg										
251030BIJ	p-aminomethyl benzoic acid	p-aminomethyl benzoic acid 50mg(10mg/mL)										
207830BIJ	paclitaxel	paclitaxel 30mg(6mg/mL)										
207831BIJ	paclitaxel	paclitaxel 0.1g(6mg/mL)										
207832BIJ	paclitaxel	paclitaxel 0.15g(6mg/mL)										
207833BIJ	paclitaxel	paclitaxel 0.2g(6mg/mL)										
503701BIJ	paclitaxel	paclitaxel(albumin-bound) 0.1g										
207801BIJ	paclitaxel	paclitaxel 30mg										
207802BIJ	paclitaxel	paclitaxel 100mg										
207803BIJ	paclitaxel	paclitaxel 150mg										
207804BIJ	paclitaxel	paclitaxel 300mg										
207805BIJ	paclitaxel	paclitaxel 200mg										
655201ATB	palbociclib	palbociclib 75mg										
655203ATB	palbociclib	palbociclib 0.1g										
655202ATB	palbociclib	palbociclib 0.125g										
503201ATR	paliperidone	paliperidone 3mg										
503202ATR	paliperidone	paliperidone 6mg										
503203ATR	paliperidone	paliperidone 9mg										
586437BIJ	paliperidone palmitate	paliperidone palmitate (as paliperidone 0.35g(0.2g/mL))										
586405BIJ	paliperidone palmitate	paliperidone palmitate(as paliperidone) 50mg										
586404BIJ	paliperidone palmitate	paliperidone palmitate(as paliperidone) 25mg										
586403BIJ	paliperidone palmitate	paliperidone palmitate(as paliperidone) 150mg										
586401BIJ	paliperidone palmitate	paliperidone palmitate(as paliperidone) 75mg										
586438BIJ	paliperidone palmitate	paliperidone palmitate (as paliperidone 0.525g(0.2g/mL))										
586402BIJ	paliperidone palmitate	paliperidone palmitate(as paliperidone) 100mg										
586435BIJ	paliperidone palmitate	paliperidone palmitate (as paliperidone 0.175g(0.2g/mL))										
586434BIJ	paliperidone palmitate	paliperidone palmitate (as paliperidone 0.15g(0.1g/mL))										
586433BIJ	paliperidone palmitate	paliperidone palmitate (as paliperidone 0.1g(0.1g/mL))										
586432BIJ	paliperidone palmitate	paliperidone palmitate (as paliperidone 75mg(0.1g/mL))										
586431BIJ	paliperidone palmitate	paliperidone palmitate (as paliperidone 50mg(0.1g/mL))										
586430BIJ	paliperidone palmitate	paliperidone palmitate (as paliperidone 25mg(0.1g/mL))										
586436BIJ	paliperidone palmitate	paliperidone palmitate (as paliperidone 0.263g(0.2g/mL))										
477501BIJ	palivizumab	palivizumab 73mg										
477502BIJ	palivizumab	palivizumab 122mg										
490002BIJ	palonosetron HCl	palonosetron HCl(as Palonosetron 0.075mg) 0.084mg										
490030BIJ	palonosetron hydrochloride	palonosetron hydrochloride (as palonosetron 75ug(50ug/mL))										
490031BIJ	palonosetron hydrochloride	palonosetron hydrochloride (as palonosetron 0.25mg(50ug/mL))										
490032BIJ	palonosetron hydrochloride	palonosetron hydrochloride (as palonosetron 0.4mg(50ug/mL))										
207901ATB	pamidronate disodium	pamidronate disodium 100mg										
208901ATE	pantoprazol sodium sesquihydrate	pantoprazol sodium sesquihydrate(as pantoprazol) 20mg										
208902ATE	pantoprazol sodium sesquihydrate	pantoprazol sodium sesquihydrate(as pantoprazol) 40mg										
656701ATE	pantoprazole hemimagnesium monohydrate	pantoprazole hemimagnesium monohydrate (as pantoprazole 40mg)										
208801ATE	pantoprazole sodium	pantoprazole sodium (as pantoprazole 40mg)										
208801BIJ	pantoprazole sodium	pantoprazole sodium (as pantoprazole 40mg)										
208802ATE	pantoprazole sodium	pantoprazole sodium (as pantoprazole 20mg)										
209130BIJ	papaverine hydrochloride	papaverine hydrochloride 30mg(30mg/mL)										
430730BIJ	paricalcitol	paricalcitol 2ug(2ug/mL)										
430731BIJ	paricalcitol	paricalcitol 5ug(5ug/mL)										
430701BIJ	paricalcitol	paricalcitol 10ug										
430702BIJ	paricalcitol	paricalcitol 5ug										
430703BIJ	paricalcitol	paricalcitol 2ug										
209304ATR	paroxetine hydrochloride	paroxetine hydrochloride (as paroxetine 12.5mg)										
209301ATB	paroxetine hydrochloride	paroxetine hydrochloride (as paroxetine 10mg)										
209302ATB	paroxetine hydrochloride	paroxetine hydrochloride (as paroxetine 20mg)										
209305ATR	paroxetine hydrochloride	paroxetine hydrochloride (as paroxetine 25mg)										
611801ATB	pazopanib hydrochloride	pazopanib hydrochloride (as pazopanib 0.2g)										
611802ATB	pazopanib hydrochloride	pazopanib hydrochloride (as pazopanib 0.4g)										
618830BIJ	pegfilgrastim	pegfilgrastim 6mg(10mg/mL)										
654403BIJ	peginterferon ug-	peginterferon ug-1a 0.125mg(0.25mg/mL)										
654404BIJ	peginterferon ug-	peginterferon ug-1a 0.157mg(63ug+94ug)										
633130BIJ	pegteograstim	pegteograstim 6mg(10mg/mL)										
490303ATB	pelargonium sidoides	pelargonium sidoides 11% ethanol ext.(1ug8~10) (as dried pelargonium sidoides ethanol ext. 16~20mg)										
490331ASY	pelargonium sidoides	pelargonium sidoides 11% ethanol ext.(1ug8~10)uglycerin mixed solution(8:2) 1.5444g(0.1716g/mL)										
490335ASY	pelargonium sidoides	pelargonium sidoides 11% ethanol ext.(1ug8~10)uglycerin mixed solution(8:2) 85.8g(0.1716g/mL)										
490336ASY	pelargonium sidoides	pelargonium sidoides 11% ethanol ext.(1ug8~10)uglycerin mixed solution(8:2) 171.6g(0.1716g/mL)										
490302ASY	pelargonium sidoides ext.	pelargonium sidoides ext. 0.1716g										
493401ATB	pelubiprofen	pelubiprofen 30mg										
493402ATR	pelubiprofen	pelubiprofen 45mg										
639001BIJ	pembrolizumab	pembrolizumab 0.1g(25mg/mL)										
481202BIJ	pemetrexed	pemetrexed (disodium heptahydrate) 100mg										
481231BIJ	pemetrexed disodium	pemetrexed disodium (as pemetrexed 0.5g(25mg/mL))										
481203BIJ	pemetrexed disodium	pemetrexed disodium (as pemetrexed 0.3g)										
481230BIJ	pemetrexed disodium	pemetrexed disodium (as pemetrexed 0.1g(25mg/mL))										
481232BIJ	pemetrexed disodium	pemetrexed disodium (as pemetrexed 1g(25mg/mL))										
481233BIJ	pemetrexed disodium	pemetrexed disodium (as pemetrexed 0.5g(50mg/mL))										
481234BIJ	pemetrexed disodium	pemetrexed disodium (as pemetrexed 0.8g(50mg/mL))										
481201BIJ	pemetrexed disodium heptahydrate	pemetrexed disodium heptahydrate 500mg										
209631ASY	pemirolast potassium	pemirolast potassium 0.5g(5mg/g)										
209601COS	pemirolast potassium	pemirolast potassium 1mg										
210001BIJ	penicillin G potassium crystal	penicillin G potassium crystal 5MI.U										
210301BIJ	pentamidine isethionate	pentamidine isethionate 0.3g										
210430BIJ	pentastarch	pentastarch 50g(0.1g/mL)										
210502BIJ	pentazocine HCl	pentazocine HCl 30mg										
210501ATB	pentazocine HCl	pentazocine HCl 25mg										
390500BIJ	pentetate + sodium pertechnetate	pentetate 9.5mg + sodium pertechnetate(Tc-99m) 0.949GBq(25.65mCi)										
210630BIJ	pentobarbital sodium	pentobarbital sodium 0.1g(50mg/mL)										
210601BIJ	pentobarbital sodium	pentobarbital sodium 100mg										
210701ATB	pentosan polysulfate sodium	pentosan polysulfate sodium 0.1g										
210802ATR	pentoxifylline	pentoxifylline 0.4g										
642406ATB	perampanel	perampanel (as perampanel anhydrate 12mg)										
642405ATB	perampanel	perampanel (as perampanel anhydrate 10mg)										
642404ATB	perampanel	perampanel (as perampanel anhydrate 8mg)										
642401ATB	perampanel	perampanel (as perampanel anhydrate 2mg)										
642402ATB	perampanel	perampanel (as perampanel anhydrate 4mg)										
642403ATB	perampanel	perampanel (as perampanel anhydrate 6mg)										
501601ATB	perindopril arginine	perindopril arginine 5mg	perindopril	perindopril	Tracked Drugs	ACEI	ACE inhibitors, plain	C09AA04	54552.0	RxNorm:54552,261257,261258,262076,312311,312312,312313,373293,854925,854927,854984,854986,854988,854990	\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\PPreparations\54552\	NDC:00032110101,00032110141,00032110201,00032110241,00032110301,00054011025,00054011125,00054011225,00527191901,00527192001,00801110101,00801110201,00801110301,10135059901,10135060001,35356060130,51129209901,54868455200,54868455201,54868455500,54868455501,61894000002,61894000102,61894000202,65862028601,65862028653,65862028701,65862028719,65862028801,65862028859,68180023501,68180023601,68180023701,76234000001,76234000101,76234000201
211302ATB	perindopril tertbutylamine	perindopril tertbutylamine 8mg	perindopril	perindopril	Tracked Drugs	ACEI	ACE inhibitors, plain	C09AA04	54552.0	RxNorm:54552,261257,261258,262076,312311,312312,312313,373293,854925,854927,854984,854986,854988,854990	\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\PPreparations\54552\	NDC:00032110101,00032110141,00032110201,00032110241,00032110301,00054011025,00054011125,00054011225,00527191901,00527192001,00801110101,00801110201,00801110301,10135059901,10135060001,35356060130,51129209901,54868455200,54868455201,54868455500,54868455501,61894000002,61894000102,61894000202,65862028601,65862028653,65862028701,65862028719,65862028801,65862028859,68180023501,68180023601,68180023701,76234000001,76234000101,76234000201
211401ATB	perphenazine	perphenazine 4mg										
624601BIJ	pertuzumab	pertuzumab 0.42g(30mg/mL)										
487001ATB	petasites hybridus CO	petasites hybridus CO2 extracts 30mg (as total petasin 8mg)										
211501BIJ	pethidine HCl	pethidine HCl 50mg										
211531BIJ	pethidine hydrochloride	pethidine hydrochloride 50mg(50mg/mL)										
100101AGN	phellinus linteus mycelliun ext.	phellinus linteus mycelliun ext. 1.1g										
100102ATB	phellinus linteus mycelliun ext.	phellinus linteus mycelliun ext. 0.55g										
100130ALQ	phellinus linteus mycelliun ext.	phellinus linteus mycelliun ext. 1.1g(36.667mg/mL)										
211701ATB	phenobarbital	phenobarbital 30mg										
251600ATB	phenobarbital + phenytoin	phenobarbital 30mg + phenytoin 100mg										
211830BIJ	phenobarbital sodium	phenobarbital sodium 0.1g(0.1g/mL)										
441430BIJ	phentolamine mesylate	phentolamine mesylate 10mg(10mg/mL)										
441401BIJ	phentolamine mesylate	phentolamine mesylate 10mg										
211902COS	phenylephrine HCl	phenylephrine HCl 100mg	phenylephrine	phenylephrine	Severe Illness Medication	SICARDIAC	Adrenergic and dopaminergic agents	C01CA06	8163.0	RxNorm:8163,106686,198786,198787,198788,211704,211709,211712,211714,211715,212770,212771,212772,212773,238230,238996,238997,238999,239000,239001,241033,247940,260687,312395,312398,314175,351701,351702,351982,359907,373368,373369,373370,373372,373375,374570,376521,379042,387789,392099,393309,477358,477359,542391,542655,542674,562592,584580,584582,584584,584588,602511,603259,603276,603915,617785,669267,672683,672685,672891,692479,700414,704955,705163,705164,705170,827706,864089,1045470,1049182,1049184,1052767,1087043,1087047,1090087,1117374,1232651,1232653,1234563,1234569,1234571,1234576,1234578,1234579,1234581,1234584,1234585,1234586,1251018,1251022,1299137,1299141,1299145,1299879,1300092,1307224,1358843,1363777,1363785,1363786,1363787,1366958,1542385,1547926,1548673,1549386,1549388,1666371,1666372,1666374	\ACT\Medications\MedicationsByAlpha\V2_12112018\RxNormUMLSRxNav\PPreparations\8163\	NDC:00023000615,00024134002,00024134204,00024134505,00024134705,00024134706,00024134803,00024135105,00024135202,00024135301,00024135305,00024135504,00024135506,00024135901,00024136201,00024136401,00045053704,00045058118,00045058136,00058078012,00058079815,00065034203,00065034205,00065434201,00065434202,00067208601,00067208605,00067208615,00067208662,00067208701,00067208705,00074179301,00074180001,00081960065,00081960066,00081960067,00083710052,00085113101,00085124701,00113009423,00113009468,00113009489,00113064810,00113200462,00223669416,00223669505,00223669515,00223669605,00223669615,00247004800,00247004802,00247004805,00247004815,00247119901,00247199905,00274752531,00274754031,00280091505,00280092505,00280093505,00280094015,00280095015,00295111734,00295111834,00295111839,00295111934,00295111939,00363036312,00363039010,00363045307,00363045312,00363045323,00363045344,00363064810,00364237053,00364242646,00364709516,00364737672,00402079802,00402079815,00402079905,00409180001,00463901916,00472101416,00487040130,00498333010,00498333025,00498333050,00498333110,00498333125,00498333150,00501290218,00501290231,00501290279,00501291810,00517029925,00517040525,00527075127,00527075128,00527079027,00527079028,00536138912,00536138935,00536160085,00536372736,00548830100,00548830125,00641048225,00641608801,00641608825,00641614201,00641614225,00641622901,00641622925,00686074002,00686074006,00686074059,00703016301,00703016312,00703163104,00703163304,00713053512,00713053524,00713053548,00781681516,00832801716,00832801730,00832847616,00904530424,00904573305,00904573349,00904573362,00904573373,00904768822,00924013300,00924013301,00924013303,00924013400,00924013401,00924013403,00998010230,00998010330,00998011230,00998034203,00998034205,00998034207,00998040615,01981000581,01981020021,01981020022,02590039618,02590039624,02590396180,10019016301,10019016305,10019016312,10019016339,10119016312,10149017101,10202009489,10719026512,10719026610,10719029710,10719031512,10797004504,10797029904,10956069212,10986069212,11673009423,11673009468,11673009489,11673020468,11822001740,11822041705,11822041706,11822041740,11822041750,11822041760,11822099001,11822303960,11822320204,11822320240,11822453002,11822453004,11822453007,11917002717,11917004580,11917004588,11917006209,11917006210,12071006016,12071006028,12333908301,12547022900,14836000701,14836000702,14836030701,14836030702,15127008103,15127008118,16874040130,17238019315,17238052005,17238052015,17478020012,17478020020,17478020102,17478020115,17478020510,17478020520,17478020605,19810004701,19810004702,19810004703,21130045307,21130045344,21695052418,23900000802,23900000805,23900000806,24208074002,24208074006,24208074059,24208074502,24208074506,24208085560,24385039010,24385050612,24385060308,24385060368,24385060389,30142009423,30142009468,30142009489,30142053910,30142064810,30142067018,30142067036,30142067072,33992045308,35418033402,35418033467,35418033468,36000001705,36000001805,36000001905,36800009423,36800009447,36800009468,36800009489,36800033105,36800039010,36800064810,37000054005,37000054105,37000054305,37000080401,37012009423,37012009468,37012009489,37205047369,37205047389,37205048310,37205071516,37808009423,37808009489,37808020989,37808045323,37808064810,37808095323,41163009423,41163009468,41163009489,41163039010,41163045307,41163045344,41163064810,41163072801,41190009423,41190009468,41190009489,41190064810,41250009423,41250009447,41250009468,41250009489,41250064810,41250095307,41250095323,41268009468,41268009489,41520009423,41520009468,41520009489,41520039010,41520064810,41520072910,41520083110,42507009447,42507009468,42507009489,42507064810,42702010215,42702010305,42961033302,46122010253,46122014903,46994045344,47682001233,47682001248,47682001299,47682001733,47682001748,47682001799,47682013350,47682013413,47682013433,47682013446,47682013448,47682013464,47682013650,47682016113,47682016133,47682016199,47682016213,47682016299,47682017013,47682017033,47682017046,47682017048,47682017064,47682020513,47682020533,47682020599,47682032313,47682032399,47682080913,47682080933,47682080946,47682080948,47682080964,48083033027,48083033030,48083033031,48083033033,48083033036,48083033039,48083033041,49035009468,49035009489,49035013162,49035013168,49035013189,49035035423,49035035443,49035039010,49035045323,49035064810,49260061616,49260061650,49260071616,49260071650,49348019727,49348052472,49348070007,49348070048,49348095004,49483023400,49483023418,49483023436,49614044089,49738001923,49738001989,49738009423,49738009489,49999082736,50090099200,50090365900,50332012604,50332012607,50332012608,50428033799,50428210914,50428297625,50428432561,50580054650,50580054651,50580055404,50580066118,50580066136,50580066172,50580078404,50580078504,50594045344,50844044407,50844045344,50844095308,50844095344,51394026512,51394026610,51432064620,51432064820,51662124901,51944047035,51944047042,51944047535,51944047542,51944447002,51944447005,51944447035,51944447042,51944447502,51944447535,51944447542,51944449542,52238071802,52238071805,52238071815,52238072015,52584001639,52584014201,52584029925,52584080001,53012020115,53187067018,53268034612,53268074012,53268085510,53304030601,53441067018,53443050212,53443050220,53443050310,53443050312,53443050320,54458084714,54569144200,54569165701,54569230400,54569318400,54569402400,54569582000,54575001601,54575001602,54575001603,54575001604,54575001701,54799053002,54799053015,54799053105,54868189900,54868281200,54868281201,54868371700,54868571600,55045332601,55154285205,55154285208,55154285505,55154512808,55154512905,55154572105,55154573505,55238071815,55301045323,55301045344,55312009447,55312009489,55315045344,55315095344,55316009423,55316009489,55316064810,55319045308,55670016313,55670016399,55670047913,55670047999,55910009468,55910009489,55910027623,55910027668,55910027689,55910045344,56062009423,56062009489,56062064810,56184012105,57243045344,57344013102,57344013103,57344013104,57344013105,57499053105,57706086909,57896033601,57896033603,58016609701,58016622501,58552030701,58552030702,58768078012,59196000701,59390017913,59390019305,59390019313,59390019405,59414010215,59414011205,59426092315,59726067018,59726067026,59726067036,59741030212,59741030224,59779009423,59779009428,59779009468,59779009489,59779039010,59779045307,59779045323,59779045344,59779077130,59779083830,59779095307,59779095323,60843012505,60843071803,60843071815,60855074002,60855074006,60855074059,61314034201,61314034202,61715004418,62011007701,62011007702,62011008501,62211027293,62542064200,62542064201,63029040101,63448031015,63629159401,63717025901,63717025999,63717026001,63868014418,63868014419,63868014423,63868014436,63868014437,63868014472,63868014474,63940045303,63940045344,63941067018,63941067036,63981045369,64048500001,64048500101,64092080218,64358052001,64358052005,64376043740,65923000554,66758001601,66758001602,66758001603,66758001604,66758001701,67060033302,67060033367,67060033368,67091020718,67091020772,68001033165,68016001521,68016023515,68016023518,68016023524,68016023536,68016075715,68016075724,68169993006,68258895301,68391009423,68391009478,68552069303,68552069315,68552069403,68788001401,68950002501,68950002502,68950002503,69097053431,69097053497,69097053535,69097053596,69097061437,69103253605,69103253606,69168027293,69536002515,69536005015,69536005021,69536010015,69536010021,69536012515,69536015015,69536015021,69536017515,69536017521,69842056910,69842064810,70000012601,70000012602,70000013201,70121157701,70121157705,70121157801,70121157807,70121157901,70253045307,70253045344,70518103800,70518103801,70692010024,70925009468,71105033368,71872704201,76014000410,76014000425,76014000430,76014000432,76014000433
